행정동코드,행정동명,시군구명,자치구명,연도,총인구수,65세이상인구,고령화율,독거노인수,독거노인수_2018,독거노인비율,의료기관수,시설수,포화도,취약도지수,인프라갭,고령화율_변화,연령가중수요지수,수요공급갭지수,독거취약수요지수
1120054000,마장동,성동구,성동구,2023,22014,4067,18.47,1070.0,816.0,26.31,0.0,4,0.909,4.859,4067.0,0.74,1.2437,1011.6256,1.5709
1120055000,사근동,성동구,성동구,2023,12000,1524,12.7,406.0,331.0,26.64,1.0,4,0.909,3.383,762.0,-0.07,1.2539,318.4906,1.5879
1120056000,행당제1동,성동구,성동구,2023,13700,2206,16.1,500.0,581.0,22.67,3.0,4,0.909,3.65,551.5,0.59,1.2421,342.5091,1.5237
1120057000,행당제2동,성동구,성동구,2023,22975,4037,17.57,928.0,706.0,22.99,0.0,4,0.909,4.039,4037.0,0.93,1.242,1002.7908,1.5275
1120058000,응봉동,성동구,성동구,2023,14997,2548,16.99,511.0,466.0,20.05,0.0,4,0.909,3.406,2548.0,0.2,1.2527,638.3759,1.5039
1120059000,금호1가동,성동구,성동구,2023,15006,2765,18.43,759.0,577.0,27.45,0.0,4,0.909,5.059,2765.0,0.91,1.2433,687.5449,1.5846
1120061500,금호2.3가동,성동구,성동구,2023,22202,4016,18.09,947.0,852.0,23.58,1.0,4,0.909,4.266,2008.0,0.88,1.24,829.9733,1.5324
1120062000,금호4가동,성동구,성동구,2023,14177,2537,17.9,694.0,512.0,27.36,0.0,4,0.909,4.897,2537.0,0.99,1.2415,629.9371,1.5812
1120064500,옥수동,성동구,성동구,2023,25534,4325,16.94,851.0,698.0,19.68,0.0,4,0.909,3.334,4325.0,1.05,1.245,1076.925,1.49
1120065000,성수1가제1동,성동구,성동구,2023,15904,2391,15.03,603.0,489.0,25.22,0.0,4,0.909,3.791,2391.0,1.05,1.2252,585.8906,1.5342
1120066000,성수1가제2동,성동구,성동구,2023,12149,1986,16.35,460.0,455.0,23.16,0.0,4,0.909,3.787,1986.0,0.86,1.2339,490.1051,1.5197
1120067000,성수2가제1동,성동구,성동구,2023,15109,2943,19.48,891.0,776.0,30.28,0.0,4,0.909,5.899,2943.0,1.11,1.2252,721.1527,1.5962
1120069000,성수2가제3동,성동구,성동구,2023,10263,1835,17.88,393.0,375.0,21.42,4.0,4,0.909,3.83,367.0,0.03,1.2391,252.6387,1.5045
1120072000,송정동,성동구,성동구,2023,10033,1855,18.49,587.0,462.0,31.64,2.0,4,0.909,5.85,618.33,1.12,1.2249,324.5985,1.6125
1120079000,용답동,성동구,성동구,2023,11711,2205,18.83,849.0,717.0,38.5,7.0,4,0.909,7.25,275.62,0.23,1.245,228.7688,1.7243
1121571000,화양동,광진구,광진구,2023,23434,2345,10.01,682.0,523.0,29.08,5.0,8,0.967,2.911,390.83,0.16,1.2396,207.633,1.6001
1121573000,군자동,광진구,광진구,2023,19425,3178,16.36,927.0,681.0,29.17,0.0,8,0.967,4.772,3178.0,0.92,1.2343,435.845,1.5943
1121574000,중곡제1동,광진구,광진구,2023,15385,2645,17.19,759.0,521.0,28.7,0.0,8,0.967,4.934,2645.0,0.71,1.2255,360.1608,1.5772
1121575000,중곡제2동,광진구,광진구,2023,20959,3445,16.44,921.0,648.0,26.73,0.0,8,0.967,4.394,3445.0,0.96,1.2237,468.4052,1.5508
1121576000,중곡제3동,광진구,광진구,2023,15955,2957,18.53,992.0,666.0,33.55,1.0,8,0.967,6.217,1478.5,0.57,1.2282,363.1787,1.6403
1121577000,중곡제4동,광진구,광진구,2023,27919,5451,19.52,1354.0,1082.0,24.84,0.0,8,0.967,4.849,5451.0,1.19,1.2237,741.1543,1.5277
1121578000,능동,광진구,광진구,2023,11171,1688,15.11,408.0,282.0,24.17,3.0,8,0.967,3.652,422.0,0.48,1.2333,173.4842,1.5314
1121581000,광장동,광진구,광진구,2023,34073,4029,11.82,618.0,522.0,15.34,0.0,8,0.967,1.813,4029.0,0.77,1.261,564.5077,1.4544
1121582000,자양제1동,광진구,광진구,2023,21906,3661,16.71,1147.0,765.0,31.33,1.0,8,0.967,5.235,1830.5,0.99,1.2345,451.9504,1.6213
1121583000,자양제2동,광진구,광진구,2023,23818,4215,17.7,908.0,634.0,21.54,1.0,8,0.967,3.813,2107.5,1.13,1.219,513.8085,1.4816
1121584000,자양제3동,광진구,광진구,2023,27536,4515,16.4,862.0,700.0,19.09,0.0,8,0.967,3.131,4515.0,1.04,1.2538,628.9897,1.4932
1121584700,자양제4동,광진구,광진구,2023,17986,3800,21.13,1220.0,874.0,32.11,3.0,8,0.967,6.785,950.0,0.8,1.2266,388.4233,1.6205
1121585000,구의제1동,광진구,광진구,2023,23414,3330,14.22,943.0,640.0,28.32,2.0,8,0.967,4.027,1110.0,0.11,1.2373,374.5645,1.5877
1121586000,구의제2동,광진구,광진구,2023,25878,4534,17.52,1126.0,918.0,24.83,1.0,8,0.967,4.35,2267.0,0.91,1.2296,557.5006,1.5349
1121587000,구의제3동,광진구,광진구,2023,28212,4417,15.66,790.0,801.0,17.89,0.0,8,0.967,2.802,4417.0,1.07,1.2371,607.1412,1.4584
1123053600,용신동,동대문구,동대문구,2023,34925,6137,17.57,2207.0,1767.0,35.96,0.0,7,0.955,6.318,6137.0,-0.26,1.2461,955.9145,1.6942
1123054500,제기동,동대문구,동대문구,2023,24138,5866,24.3,2001.0,1770.0,34.11,2.0,7,0.955,8.289,1955.33,0.8,1.2506,733.602,1.6772
1123056000,전농제1동,동대문구,동대문구,2023,28728,5818,20.25,1991.0,1788.0,34.22,1.0,7,0.955,6.93,2909.0,0.8,1.2421,802.9486,1.6671
1123057000,전농제2동,동대문구,동대문구,2023,18123,3818,21.07,906.0,705.0,23.73,0.0,7,0.955,5.0,3818.0,1.1,1.2462,594.749,1.5419
1123060000,답십리제1동,동대문구,동대문구,2023,28111,4195,14.92,1037.0,916.0,24.72,3.0,7,0.955,3.688,1048.75,0.77,1.2384,472.2807,1.5445
1123061000,답십리제2동,동대문구,동대문구,2023,27753,5817,20.96,1464.0,1155.0,25.17,3.0,7,0.955,5.276,1454.25,1.1,1.2425,657.0566,1.5552
1123065000,장안제1동,동대문구,동대문구,2023,38015,6863,18.05,1676.0,1185.0,24.42,4.0,7,0.955,4.408,1372.6,0.91,1.2192,697.2808,1.5169
1123066000,장안제2동,동대문구,동대문구,2023,32342,5483,16.95,1339.0,963.0,24.42,8.0,7,0.955,4.139,609.22,0.72,1.221,418.4214,1.5192
1123070500,청량리동,동대문구,동대문구,2023,18620,5480,29.43,2095.0,1678.0,38.23,3.0,7,0.955,11.251,1370.0,1.46,1.2477,621.5815,1.7247
1123071000,회기동,동대문구,동대문구,2023,10533,1557,14.78,465.0,418.0,29.87,3.0,7,0.955,4.415,389.25,0.05,1.2671,179.3522,1.6456
1123072000,휘경제1동,동대문구,동대문구,2023,14016,2179,15.55,506.0,608.0,23.22,0.0,7,0.955,3.611,2179.0,0.37,1.2495,340.3326,1.5396
1123073000,휘경제2동,동대문구,동대문구,2023,24363,4150,17.03,976.0,763.0,23.52,2.0,7,0.955,4.005,1383.33,0.39,1.2347,512.4005,1.5251
1123074000,이문제1동,동대문구,동대문구,2023,17995,3223,17.91,895.0,1113.0,27.77,0.0,7,0.955,4.974,3223.0,0.36,1.2601,507.6628,1.61
1123075000,이문제2동,동대문구,동대문구,2023,19631,4154,21.16,1067.0,795.0,25.69,0.0,7,0.955,5.436,4154.0,1.08,1.239,643.3508,1.5573
1126052000,면목제2동,중랑구,중랑구,2023,23839,4828,20.25,1643.0,1185.0,34.03,2.0,11,0.964,6.891,1609.33,1.11,1.2311,424.5536,1.65
1126054000,면목제4동,중랑구,중랑구,2023,18397,3946,21.45,1213.0,865.0,30.74,0.0,11,0.964,6.594,3946.0,1.17,1.2175,400.3546,1.5918
1126055000,면목제5동,중랑구,중랑구,2023,14674,2404,16.38,630.0,411.0,26.21,1.0,11,0.964,4.293,1202.0,1.17,1.2235,226.2534,1.5442
1126056500,면목본동,중랑구,중랑구,2023,33121,6374,19.24,2187.0,1593.0,34.31,0.0,11,0.964,6.601,6374.0,0.89,1.2271,651.7946,1.6481
1126057000,면목제7동,중랑구,중랑구,2023,21514,4509,20.96,1191.0,857.0,26.41,1.0,11,0.964,5.536,2254.5,0.95,1.2266,425.4415,1.5505
1126057500,면목제3.8동,중랑구,중랑구,2023,24381,5235,21.47,1686.0,1158.0,32.21,2.0,11,0.964,6.915,1745.0,0.97,1.2265,458.6234,1.6216
1126058000,상봉제1동,중랑구,중랑구,2023,23456,4037,17.21,1147.0,766.0,28.41,1.0,11,0.964,4.889,2018.5,1.12,1.2297,381.8691,1.5791
1126059000,상봉제2동,중랑구,중랑구,2023,20242,3097,15.3,1111.0,915.0,35.87,3.0,11,0.964,5.488,774.25,0.22,1.2289,253.7269,1.6697
