"동별","독거노인별","항목","단위","2021 년","2022 년","2023 년","2024 년",
"창신3동","저소득노인","계","","16","7","11","9",
"창신3동","저소득노인","65~79세","","9","5","8","6",
"창신3동","저소득노인","80세 이상","","7","2","3","3",
"창신3동","일   반","계","","209","225","308","206",
"창신3동","일   반","65~79세","","148","148","208","134",
"창신3동","일   반","80세 이상","","61","77","100","72",
"숭인1동","합계","계","","378","406","558","447",
"숭인1동","합계","65~79세","","268","290","388","316",
"숭인1동","합계","80세 이상","","110","116","170","131",
"숭인1동","국민기초생활보장 수급권자","계","","104","116","133","148",
"숭인1동","국민기초생활보장 수급권자","65~79세","","78","85","96","105",
"숭인1동","국민기초생활보장 수급권자","80세 이상","","26","31","37","43",
"숭인1동","저소득노인","계","","18","25","14","27",
"숭인1동","저소득노인","65~79세","","13","11","6","15",
"숭인1동","저소득노인","80세 이상","","5","14","8","12",
"숭인1동","일   반","계","","256","265","411","272",
"숭인1동","일   반","65~79세","","177","194","286","196",
"숭인1동","일   반","80세 이상","","79","71","125","76",
"숭인2동","합계","계","","660","711","954","749",
"숭인2동","합계","65~79세","","535","558","745","579",
"숭인2동","합계","80세 이상","","125","153","209","170",
"숭인2동","국민기초생활보장 수급권자","계","","223","218","229","242",
"숭인2동","국민기초생활보장 수급권자","65~79세","","180","167","179","195",
"숭인2동","국민기초생활보장 수급권자","80세 이상","","43","51","50","47",
"숭인2동","저소득노인","계","","58","37","25","28",
"숭인2동","저소득노인","65~79세","","45","32","19","18",
"숭인2동","저소득노인","80세 이상","","13","5","6","10",
"숭인2동","일   반","계","","379","456","700","479",
"숭인2동","일   반","65~79세","","310","359","547","366",
"숭인2동","일   반","80세 이상","","69","97","153","113",
"중구","합계","계","","7553","7425","7987","8088",
"중구","합계","65~79세","","5538","5417","5766","5850",
"중구","합계","80세 이상","","2015","2008","2221","2238",
"중구","국민기초생활보장 수급권자","계","","2168","2392","2553","2762",
"중구","국민기초생활보장 수급권자","65~79세","","1564","1733","1787","1950",
"중구","국민기초생활보장 수급권자","80세 이상","","604","659","766","812",
"중구","저소득노인","계","","265","366","324","173",
"중구","저소득노인","65~79세","","138","211","177","84",
"중구","저소득노인","80세 이상","","127","155","147","89",
"중구","일   반","계","","5120","4667","5110","5153",
"중구","일   반","65~79세","","3836","3473","3802","3816",
"중구","일   반","80세 이상","","1284","1194","1308","1337",
"소공동","합계","계","","79","70","87","85",
"소공동","합계","65~79세","","67","55","67","64",
"소공동","합계","80세 이상","","12","15","20","21",
"소공동","국민기초생활보장 수급권자","계","","19","17","17","16",
"소공동","국민기초생활보장 수급권자","65~79세","","17","15","15","13",
"소공동","국민기초생활보장 수급권자","80세 이상","","2","2","2","3",
"소공동","저소득노인","계","","0","-","-","1",
"소공동","저소득노인","65~79세","","0","-","-","1",
"소공동","저소득노인","80세 이상","","0","-","-","-",
