행정동코드,행정동명,시군구명,자치구명,연도,총인구수,65세이상인구,독거노인수_2018,고령화율,고령화율_변화,독거노인비율,비율_75-79세,비율_80-84세,비율_85세이상,인프라갭,포화도,시설수,수요공급갭지수,요양수요가속도
1120061500,금호2.3가동,성동구,성동구,2023,22202,4016,852.0,18.09,0.88,23.58,18.7,15.11,8.88,2008.0,0.909,4,831.1781,10.57
1120062000,금호4가동,성동구,성동구,2023,14177,2537,512.0,17.9,0.99,27.36,18.97,13.02,9.7,2537.0,0.909,4,630.4445,30.41
1120064500,옥수동,성동구,성동구,2023,25534,4325,698.0,16.94,1.05,19.68,18.09,13.09,10.22,4325.0,0.909,4,1077.444,19.82
1120065000,성수1가제1동,성동구,성동구,2023,15904,2391,489.0,15.03,1.05,25.22,16.83,11.98,8.12,2391.0,0.909,4,586.6079,20.96
1120066000,성수1가제2동,성동구,성동구,2023,12149,1986,455.0,16.35,0.86,23.16,18.63,13.34,8.41,1986.0,0.909,4,490.1051,1.09
1120067000,성수2가제1동,성동구,성동구,2023,15109,2943,776.0,19.48,1.11,30.28,17.27,13.16,7.55,2943.0,0.909,4,721.6825,13.82
1120069000,성수2가제3동,성동구,성동구,2023,10263,1835,375.0,17.88,0.03,21.42,20.13,13.75,9.0,367.0,0.909,4,252.9242,4.69
1120072000,송정동,성동구,성동구,2023,10033,1855,462.0,18.49,1.12,31.64,18.17,11.81,7.76,618.33,0.909,4,324.5985,23.95
1120079000,용답동,성동구,성동구,2023,11711,2205,717.0,18.83,0.23,38.5,20.55,15.38,9.07,275.62,0.909,4,228.879,16.9
1121571000,화양동,광진구,광진구,2023,23434,2345,523.0,10.01,0.16,29.08,18.6,14.16,9.0,390.83,0.967,8,207.7335,26.54
1121573000,군자동,광진구,광진구,2023,19425,3178,681.0,16.36,0.92,29.17,19.52,13.72,8.28,3178.0,0.967,8,435.9863,30.84
1121574000,중곡제1동,광진구,광진구,2023,15385,2645,521.0,17.19,0.71,28.7,19.7,13.8,6.92,2645.0,0.967,8,360.1314,37.63
1121575000,중곡제2동,광진구,광진구,2023,20959,3445,648.0,16.44,0.96,26.73,18.32,12.89,7.23,3445.0,0.967,8,468.5583,35.16
1121576000,중곡제3동,광진구,광진구,2023,15955,2957,666.0,18.53,0.57,33.55,19.22,13.94,7.37,1478.5,0.967,8,363.297,39.84
1121577000,중곡제4동,광진구,광진구,2023,27919,5451,1082.0,19.52,1.19,24.84,18.66,12.77,7.23,5451.0,0.967,8,741.3966,22.43
1121578000,능동,광진구,광진구,2023,11171,1688,282.0,15.11,0.48,24.17,18.61,15.83,7.53,422.0,0.967,8,173.5827,36.94
1121581000,광장동,광진구,광진구,2023,34073,4029,522.0,11.82,0.77,15.34,15.35,13.71,12.7,4029.0,0.967,8,565.0449,16.88
1121582000,자양제1동,광진구,광진구,2023,21906,3661,765.0,16.71,0.99,31.33,18.27,14.53,8.11,1830.5,0.967,8,451.9504,40.5
1121583000,자양제2동,광진구,광진구,2023,23818,4215,634.0,17.7,1.13,21.54,18.04,11.54,7.12,2107.5,0.967,8,514.0614,35.92
1121584000,자양제3동,광진구,광진구,2023,27536,4515,700.0,16.4,1.04,19.09,15.51,12.98,11.83,4515.0,0.967,8,629.2907,20.82
1121584700,자양제4동,광진구,광진구,2023,17986,3800,874.0,21.13,0.8,32.11,18.0,13.58,7.42,950.0,0.967,8,388.5183,33.35
1121585000,구의제1동,광진구,광진구,2023,23414,3330,640.0,14.22,0.11,28.32,18.48,13.82,8.83,1110.0,0.967,8,374.7764,38.76
1121586000,구의제2동,광진구,광진구,2023,25878,4534,918.0,17.52,0.91,24.83,18.65,12.87,8.12,2267.0,0.967,8,557.9994,20.42
1121587000,구의제3동,광진구,광진구,2023,28212,4417,801.0,15.66,1.07,17.89,17.35,13.03,9.27,4417.0,0.967,8,607.5829,-1.38
1123053600,용신동,동대문구,동대문구,2023,34925,6137,1767.0,17.57,-0.26,35.96,18.69,15.32,9.44,6137.0,0.955,7,956.0679,22.24
1123054500,제기동,동대문구,동대문구,2023,24138,5866,1770.0,24.3,0.8,34.11,19.4,15.58,10.03,1955.33,0.955,7,734.3645,12.27
1123056000,전농제1동,동대문구,동대문구,2023,28728,5818,1788.0,20.25,0.8,34.22,19.39,14.35,9.26,2909.0,0.955,7,803.5951,10.75
1123057000,전농제2동,동대문구,동대문구,2023,18123,3818,705.0,21.07,1.1,23.73,19.03,15.78,9.3,3818.0,0.955,7,595.0353,25.08
1123060000,답십리제1동,동대문구,동대문구,2023,28111,4195,916.0,14.92,0.77,24.72,18.78,13.94,9.02,1048.75,0.955,7,472.8528,12.41
1123061000,답십리제2동,동대문구,동대문구,2023,27753,5817,1155.0,20.96,1.1,25.17,18.54,14.49,9.25,1454.25,0.955,7,657.1624,23.71
1123065000,장안제1동,동대문구,동대문구,2023,38015,6863,1185.0,18.05,0.91,24.42,18.64,11.93,7.0,1372.6,0.955,7,697.9099,34.67
1123066000,장안제2동,동대문구,동대문구,2023,32342,5483,963.0,16.95,0.72,24.42,18.59,11.79,7.22,609.22,0.955,7,418.5585,32.96
1123070500,청량리동,동대문구,동대문구,2023,18620,5480,1678.0,29.43,1.46,38.23,19.85,14.36,9.84,1370.0,0.955,7,621.5815,22.2
1123071000,회기동,동대문구,동대문구,2023,10533,1557,418.0,14.78,0.05,29.87,19.49,18.91,11.19,389.25,0.955,7,179.5787,10.66
1123072000,휘경제1동,동대문구,동대문구,2023,14016,2179,608.0,15.55,0.37,23.22,19.32,14.13,10.23,2179.0,0.955,7,340.3326,-18.36
1123073000,휘경제2동,동대문구,동대문구,2023,24363,4150,763.0,17.03,0.39,23.52,18.46,13.98,8.31,1383.33,0.955,7,512.4005,24.62
1123074000,이문제1동,동대문구,동대문구,2023,17995,3223,1113.0,17.91,0.36,27.77,20.48,17.97,10.24,3223.0,0.955,7,507.8239,-21.8
1123075000,이문제2동,동대문구,동대문구,2023,19631,4154,795.0,21.16,1.08,25.69,20.18,14.71,8.48,4154.0,0.955,7,643.5065,29.43
1126052000,면목제2동,중랑구,중랑구,2023,23839,4828,1185.0,20.25,1.11,34.03,18.58,13.53,7.95,1609.33,0.964,11,424.5536,32.68
1126054000,면목제4동,중랑구,중랑구,2023,18397,3946,865.0,21.45,1.17,30.74,20.1,14.42,5.55,3946.0,0.964,11,400.4532,33.81
1126055000,면목제5동,중랑구,중랑구,2023,14674,2404,411.0,16.38,1.17,26.21,16.85,13.27,7.2,1202.0,0.964,11,226.2534,42.71
1126056500,면목본동,중랑구,중랑구,2023,33121,6374,1593.0,19.24,0.89,34.31,18.35,13.47,7.5,6374.0,0.964,11,652.0071,31.69
1126057000,면목제7동,중랑구,중랑구,2023,21514,4509,857.0,20.96,0.95,26.41,18.96,12.04,7.81,2254.5,0.964,11,425.4415,32.91
1126057500,면목제3.8동,중랑구,중랑구,2023,24381,5235,1158.0,21.47,0.97,32.21,18.36,13.13,7.55,1745.0,0.964,11,458.8104,37.57
1126058000,상봉제1동,중랑구,중랑구,2023,23456,4037,766.0,17.21,1.12,28.41,17.05,13.92,7.85,2018.5,0.964,11,381.9623,40.37
1126059000,상봉제2동,중랑구,중랑구,2023,20242,3097,915.0,15.3,0.22,35.87,17.56,13.03,8.18,774.25,0.964,11,254.0572,19.41
1126060000,중화제1동,중랑구,중랑구,2023,19061,3866,700.0,20.28,1.24,25.12,17.95,12.44,6.34,1933.0,0.964,11,361.7089,32.72
1126061000,중화제2동,중랑구,중랑구,2023,24371,5209,1462.0,21.37,1.09,37.38,17.97,13.88,8.1,5209.0,0.964,11,535.0077,28.65
1126062000,묵제1동,중랑구,중랑구,2023,34077,6201,880.0,18.2,0.77,20.96,18.46,13.13,8.18,2067.0,0.964,11,545.5108,39.02
1126063000,묵제2동,중랑구,중랑구,2023,18385,3783,715.0,20.58,1.17,28.21,17.75,13.49,7.11,3783.0,0.964,11,385.9606,40.03
1126065500,망우본동,중랑구,중랑구,2023,35571,6869,1357.0,19.31,0.66,33.32,17.04,12.77,8.53,686.9,0.964,11,402.9486,52.28
1126066000,망우제3동,중랑구,중랑구,2023,15941,3544,871.0,22.23,1.21,35.86,17.92,12.11,8.83,1772.0,0.964,11,336.162,37.79
1126068000,신내1동,중랑구,중랑구,2023,38129,7304,942.0,19.16,1.26,20.19,17.98,13.06,9.59,2434.67,0.964,11,647.3953,44.84
1126069000,신내2동,중랑구,중랑구,2023,19970,4323,889.0,21.65,1.37,30.3,17.39,12.64,9.7,2161.5,0.964,11,412.3809,38.77
1129052500,성북동,성북구,성북구,2023,16246,3082,741.0,18.97,0.45,26.57,18.97,16.28,13.06,3082.0,0.851,19,196.4313,10.01
1129055500,삼선동,성북구,성북구,2023,22433,4041,1103.0,18.01,0.6,28.41,20.08,16.72,10.35,4041.0,0.851,19,254.0981,4.0
1129057500,동선동,성북구,성북구,2023,15077,2185,644.0,14.49,-0.28,29.7,21.48,16.67,10.26,546.25,0.851,19,119.529,0.77
1129058000,돈암제1동,성북구,성북구,2023,14404,3015,611.0,20.93,1.06,24.68,17.55,14.6,9.46,1507.5,0.851,19,178.5454,19.69
1129059000,돈암제2동,성북구,성북구,2023,23490,3687,501.0,15.7,0.81,17.06,17.09,14.59,11.09,3687.0,0.851,19,231.3039,22.75
1129060000,안암동,성북구,성북구,2023,15096,2126,603.0,14.08,-0.02,30.57,19.96,15.87,11.3,1063.0,0.851,19,127.7726,7.51
1129061000,보문동,성북구,성북구,2023,16303,2601,676.0,15.95,0.33,29.72,18.85,13.42,9.65,650.25,0.851,19,140.5784,13.41
1129062000,정릉제1동,성북구,성북구,2023,17940,3233,580.0,18.02,0.68,20.45,19.18,15.66,9.44,1616.5,0.851,19,192.071,13.07
1129063000,정릉제2동,성북구,성북구,2023,22675,4679,912.0,20.64,1.25,23.04,18.42,14.62,9.15,1559.67,0.851,19,264.1934,16.72
1129064000,정릉제3동,성북구,성북구,2023,15142,3399,914.0,22.45,0.65,29.77,19.98,16.04,10.27,3399.0,0.851,19,213.3212,10.19
1129065000,정릉제4동,성북구,성북구,2023,24415,5012,1076.0,20.53,0.84,25.56,18.64,15.15,8.74,5012.0,0.851,19,310.9695,17.44
1129066000,길음제1동,성북구,성북구,2023,34796,4839,817.0,13.91,0.74,19.32,19.83,14.68,8.54,4839.0,0.851,19,299.8486,13.49
1129068500,길음제2동,성북구,성북구,2023,21621,3136,554.0,14.5,0.19,22.51,16.81,12.76,8.8,627.2,0.851,19,161.1773,24.25
1129070500,종암동,성북구,성북구,2023,38129,7015,1600.0,18.4,0.72,26.46,18.34,15.16,12.05,1753.75,0.851,19,385.52,14.84
1129071500,월곡제1동,성북구,성북구,2023,25955,4947,1003.0,19.06,0.9,24.48,19.1,14.37,8.35,2473.5,0.851,19,291.2841,18.85
1129072500,월곡제2동,성북구,성북구,2023,19188,3742,734.0,19.5,0.75,25.33,18.02,14.86,9.49,3742.0,0.851,19,232.9208,25.58
1129076000,장위제1동,성북구,성북구,2023,23801,4230,921.0,17.77,0.96,28.98,18.12,14.14,7.64,4230.0,0.851,19,260.145,28.61
1129077000,장위제2동,성북구,성북구,2023,13372,3161,797.0,23.64,0.86,29.17,18.52,14.75,8.58,1580.5,0.851,19,186.4388,14.57
1129078000,장위제3동,성북구,성북구,2023,15727,2209,492.0,14.05,0.5,23.63,17.29,12.77,7.24,1104.5,0.851,19,128.6374,5.92
1129081000,석관동,성북구,성북구,2023,34360,7518,1419.0,21.88,1.2,26.51,19.81,14.54,8.08,3759.0,0.851,19,442.3806,33.97
1130553400,삼양동,강북구,강북구,2023,22848,5060,1424.0,22.15,1.1,32.11,19.09,14.59,7.93,5060.0,0.852,10,567.686,13.2
1130553500,미아동,강북구,강북구,2023,21155,4638,1202.0,21.92,0.7,34.52,18.48,15.42,8.69,927.6,0.852,10,383.7481,28.66
1130554500,송중동,강북구,강북구,2023,29215,6234,1380.0,21.34,0.82,27.27,18.88,14.04,7.65,1246.8,0.852,10,511.3958,20.85
1130555500,송천동,강북구,강북구,2023,25521,6304,1702.0,24.7,1.13,34.04,19.1,14.84,8.06,1050.67,0.852,10,486.8658,23.18
1130557500,삼각산동,강북구,강북구,2023,30756,4748,900.0,15.44,0.9,24.81,18.84,14.01,8.98,4748.0,0.852,10,535.1428,26.92
1130559500,번1동,강북구,강북구,2023,18099,3815,927.0,21.08,1.01,31.64,20.64,14.16,8.21,545.0,0.852,10,277.4627,26.39
1130560300,번2동,강북구,강북구,2023,15256,4132,936.0,27.08,1.48,32.72,21.6,15.57,7.53,4132.0,0.852,10,464.3241,36.77
1130560800,번3동,강북구,강북구,2023,16300,4794,1127.0,29.41,1.36,35.36,23.9,16.72,7.66,2397.0,0.852,10,496.219,40.81
1130561500,수유1동,강북구,강북구,2023,20251,4587,1173.0,22.65,1.0,31.59,19.73,14.41,9.01,4587.0,0.852,10,517.8723,21.13
1130562500,수유2동,강북구,강북구,2023,20863,5163,979.0,24.75,1.34,25.53,18.9,15.71,10.46,5163.0,0.852,10,588.9106,29.73
1130563500,수유3동,강북구,강북구,2023,23017,4828,1148.0,20.98,0.64,32.85,19.42,14.69,8.73,2414.0,0.852,10,499.014,32.32
1130564500,우이동,강북구,강북구,2023,20195,5023,1123.0,24.87,1.06,28.19,19.39,16.29,9.76,5023.0,0.852,10,571.5717,23.18
1130566000,인수동,강북구,강북구,2023,29643,7276,1632.0,24.55,1.32,29.21,18.89,14.71,9.36,1039.43,0.852,10,532.6032,26.4
1132051100,창제1동,도봉구,도봉구,2023,24309,4923,902.0,20.25,1.36,24.84,18.5,14.86,9.53,4923.0,0.909,21,278.7313,30.44
1132051200,창제2동,도봉구,도봉구,2023,28567,5543,904.0,19.4,1.05,23.34,18.65,14.08,8.5,1847.67,0.909,21,285.58,35.87
1132051300,창제3동,도봉구,도봉구,2023,13454,3069,688.0,22.81,1.35,29.52,19.77,15.3,7.6,3069.0,0.909,21,172.1709,27.53
1132051400,창제4동,도봉구,도봉구,2023,25916,4570,744.0,17.63,1.26,20.68,16.81,13.48,11.18,4570.0,0.909,21,260.1161,23.91
1132051500,창제5동,도봉구,도봉구,2023,24177,4694,706.0,19.42,1.34,20.9,16.01,13.6,9.81,1173.5,0.909,21,233.2167,32.9
1132052100,도봉제1동,도봉구,도봉구,2023,20418,5998,1312.0,29.38,1.64,31.86,20.56,14.96,8.52,1499.5,0.909,21,297.6448,37.61
1132052200,도봉제2동,도봉구,도봉구,2023,26132,6871,1195.0,26.29,1.86,24.47,18.01,13.62,9.06,6871.0,0.909,21,386.8373,34.12
1132066000,쌍문제1동,도봉구,도봉구,2023,20968,4762,838.0,22.71,0.84,24.02,19.57,15.85,9.03,952.4,0.909,21,228.1364,31.13
1132067000,쌍문제2동,도봉구,도봉구,2023,18259,4077,844.0,22.33,1.26,29.92,17.2,14.11,10.26,1019.25,0.909,21,203.4586,36.85
1132068000,쌍문제3동,도봉구,도봉구,2023,16757,3547,665.0,21.17,0.25,27.46,20.12,15.58,7.7,1773.5,0.909,21,190.6127,38.16
1132068100,쌍문제4동,도봉구,도봉구,2023,18308,3318,438.0,18.12,1.34,19.44,15.01,13.84,9.16,3318.0,0.909,21,186.5923,38.7
1132069000,방학제1동,도봉구,도봉구,2023,28119,6230,1159.0,22.16,1.34,26.74,19.1,13.38,7.76,1038.33,0.909,21,283.765,36.29
1132070000,방학제2동,도봉구,도봉구,2023,19032,4640,1073.0,24.38,1.84,33.36,18.52,15.84,8.21,2320.0,0.909,21,249.9144,36.65
1132071000,방학제3동,도봉구,도봉구,2023,26437,5459,693.0,20.65,1.59,18.28,14.94,12.55,11.09,1819.67,0.909,21,283.7543,36.47
1135056000,월계1동,노원구,노원구,2023,20910,4315,905.0,20.64,0.92,31.84,19.01,13.12,8.83,1438.33,0.814,12,355.7574,41.75
1135057000,월계2동,노원구,노원구,2023,25947,6104,1495.0,23.52,1.24,52.15,17.64,13.0,9.3,6104.0,0.814,12,581.4764,75.57
1135058000,월계3동,노원구,노원구,2023,29106,6434,1288.0,22.11,1.33,40.61,18.3,14.17,9.04,6434.0,0.814,12,613.7541,70.74
1135059500,공릉1동,노원구,노원구,2023,36422,6933,1463.0,19.04,0.93,21.35,17.46,12.31,8.12,770.33,0.814,12,405.4484,1.16
1135060000,공릉2동,노원구,노원구,2023,41817,5965,903.0,14.26,0.67,40.35,17.26,12.18,8.6,2982.5,0.814,12,524.4939,98.04
1135061100,하계1동,노원구,노원구,2023,26568,4738,1243.0,17.83,0.85,49.87,16.55,14.57,11.11,1579.33,0.814,12,396.1916,64.24
1135061200,하계2동,노원구,노원구,2023,21517,3419,639.0,15.89,0.97,61.1,17.84,14.13,11.61,3419.0,0.814,12,330.8277,114.7520000000001
1135061900,중계본동,노원구,노원구,2023,23375,2657,636.0,11.37,0.66,38.88,16.68,14.65,10.39,2657.0,0.814,12,255.3786,48.5
1135062100,중계1동,노원구,노원구,2023,26466,2586,500.0,9.77,0.77,31.25,16.53,14.71,10.3,2586.0,0.814,12,248.435,48.0
1135062400,중계4동,노원구,노원구,2023,19417,4152,991.0,21.38,1.18,32.63,20.12,14.72,10.12,2076.0,0.814,12,370.9812,31.28
1135062500,중계2.3동,노원구,노원구,2023,33213,7688,2106.0,23.15,1.13,31.32,19.28,15.15,11.2,7688.0,0.814,12,744.4941,13.4
1135063000,상계1동,노원구,노원구,2023,37588,7636,1252.0,20.31,1.4,26.27,17.19,13.06,8.94,2545.33,0.814,12,629.0028,47.14
1135064000,상계2동,노원구,노원구,2023,19477,3578,711.0,18.37,1.16,84.04,17.22,13.95,8.67,298.17,0.814,12,184.267,114.7520000000001
1135066500,상계3.4동,노원구,노원구,2023,25113,6225,1760.0,24.79,1.19,38.62,19.5,15.61,8.7,6225.0,0.814,12,594.9663,31.18
1135067000,상계5동,노원구,노원구,2023,23498,5270,1281.0,22.43,1.17,45.05,19.33,14.79,10.31,5270.0,0.814,12,507.4199,61.69
1135069500,상계6.7동,노원구,노원구,2023,31915,5304,1095.0,16.62,0.83,17.52,17.24,13.05,11.26,1060.8,0.814,12,390.6552,-16.44
1135070000,상계8동,노원구,노원구,2023,22208,3079,537.0,13.86,0.69,33.58,16.99,12.11,10.98,3079.0,0.814,12,295.4419,65.52
1135071000,상계9동,노원구,노원구,2023,19921,3713,698.0,18.64,1.29,60.33,16.08,13.2,10.32,1856.5,0.814,12,330.1122,114.7520000000001
1135072000,상계10동,노원구,노원구,2023,18342,2951,426.0,16.09,1.29,58.69,14.24,11.87,10.68,2951.0,0.814,12,281.9794,114.7520000000001
1138051000,녹번동,은평구,은평구,2023,36447,7346,1707.0,20.16,0.92,30.47,18.87,14.94,8.85,1224.33,0.825,17,396.4604,27.08
1138052000,불광제1동,은평구,은평구,2023,37871,8025,1849.0,21.19,0.98,28.2,18.87,15.78,9.7,2675.0,0.825,17,501.3619,20.2
1138053000,불광제2동,은평구,은평구,2023,27121,6186,1548.0,22.81,0.99,34.16,19.22,15.59,8.54,1237.2,0.825,17,348.9748,31.11
1138055100,갈현제1동,은평구,은평구,2023,15587,3267,1103.0,20.96,0.61,26.81,19.16,13.84,8.36,1089.0,0.825,17,201.7699,-23.04
1138055200,갈현제2동,은평구,은평구,2023,27913,5265,1013.0,18.86,1.02,24.6,19.01,13.88,8.66,1316.25,0.825,17,310.2339,24.56
