시도,시군구,자격별,성별,연령구분,신청자,1등급,2등급,3등급,4등급,5등급,인지지원등급,등급외A,등급외B,등급외C
서울,광진구,감경,남자,65세미만,27,3,3,8,7,3,0,0,0,1
서울,광진구,감경,남자,65-69세,30,1,5,6,9,4,0,0,0,0
서울,광진구,감경,남자,70-74세,52,4,2,19,19,4,0,2,0,0
서울,광진구,감경,남자,75-79세,55,0,6,15,23,7,2,0,0,0
서울,광진구,감경,남자,80-84세,77,0,6,20,43,6,0,0,0,0
서울,광진구,감경,남자,85세이상,73,2,4,25,32,8,0,0,0,0
서울,광진구,감경,여자,65세미만,20,3,3,4,3,3,0,0,0,0
서울,광진구,감경,여자,65-69세,45,3,7,8,16,2,1,1,2,0
서울,광진구,감경,여자,70-74세,80,4,7,26,31,5,2,1,0,1
서울,광진구,감경,여자,75-79세,134,5,9,31,59,13,6,1,0,0
서울,광진구,감경,여자,80-84세,288,9,22,94,131,20,2,1,0,0
서울,광진구,감경,여자,85세이상,415,22,56,142,163,19,5,0,0,0
서울,동대문구,일반,남자,65세미만,70,8,3,14,11,0,2,7,6,0
서울,동대문구,일반,남자,65-69세,134,5,10,20,22,4,1,19,8,6
서울,동대문구,일반,남자,70-74세,205,15,13,26,54,11,5,26,8,1
서울,동대문구,일반,남자,75-79세,304,10,15,62,75,21,11,31,18,4
서울,동대문구,일반,남자,80-84세,384,17,22,68,129,34,14,22,15,4
서울,동대문구,일반,남자,85세이상,402,12,19,72,128,44,14,31,19,3
서울,동대문구,일반,여자,65세미만,58,10,2,4,9,1,0,8,1,0
서울,동대문구,일반,여자,65-69세,168,8,6,18,29,7,2,18,11,7
서울,동대문구,일반,여자,70-74세,305,10,14,41,59,16,6,43,15,3
서울,동대문구,일반,여자,75-79세,594,29,22,93,158,64,23,53,27,9
서울,동대문구,일반,여자,80-84세,972,33,60,159,321,97,28,86,38,9
서울,동대문구,일반,여자,85세이상,1062,35,98,232,352,109,20,52,31,2
서울,동대문구,기초,남자,65세미만,93,5,4,15,15,2,4,11,6,1
서울,동대문구,기초,남자,65-69세,106,5,5,9,23,10,1,13,7,3
서울,동대문구,기초,남자,70-74세,89,3,6,14,21,7,4,5,4,3
서울,동대문구,기초,남자,75-79세,76,3,2,10,20,7,2,6,9,2
서울,동대문구,기초,남자,80-84세,64,0,2,9,20,3,3,5,1,3
서울,동대문구,기초,남자,85세이상,46,2,4,7,10,4,3,5,4,0
서울,동대문구,기초,여자,65세미만,40,1,4,4,9,1,0,5,1,1
서울,동대문구,기초,여자,65-69세,78,2,6,8,17,2,0,7,3,5
서울,동대문구,기초,여자,70-74세,95,2,3,17,23,8,1,8,6,2
서울,동대문구,기초,여자,75-79세,172,3,3,22,61,15,3,16,11,2
서울,동대문구,기초,여자,80-84세,232,7,9,45,79,22,3,21,5,4
서울,동대문구,기초,여자,85세이상,233,18,13,31,86,18,6,7,6,4
서울,동대문구,의료,남자,65세미만,1,0,0,0,0,0,0,0,0,1
서울,동대문구,의료,남자,65-69세,0,0,0,0,0,0,0,0,0,0
서울,동대문구,의료,남자,70-74세,2,1,0,1,0,0,0,0,0,0
서울,동대문구,의료,남자,75-79세,2,0,0,2,0,0,0,0,0,0
서울,동대문구,의료,남자,80-84세,2,0,0,0,1,0,1,0,0,0
서울,동대문구,의료,남자,85세이상,5,0,0,2,0,0,0,1,0,0
서울,동대문구,의료,여자,65세미만,1,0,0,0,0,0,0,0,0,0
서울,동대문구,의료,여자,65-69세,0,0,0,0,0,0,0,0,0,0
서울,동대문구,의료,여자,70-74세,2,0,0,0,1,0,0,0,0,0
서울,동대문구,의료,여자,75-79세,5,0,0,0,1,0,0,1,0,0
서울,동대문구,의료,여자,80-84세,6,0,0,1,2,2,0,1,0,0
서울,동대문구,의료,여자,85세이상,15,0,1,4,4,4,0,0,0,0
서울,동대문구,감경,남자,65세미만,52,8,2,17,12,4,1,0,1,0
서울,동대문구,감경,남자,65-69세,52,5,4,17,12,6,2,1,1,0
서울,동대문구,감경,남자,70-74세,86,6,4,25,27,12,6,2,1,0
서울,동대문구,감경,남자,75-79세,78,2,6,19,29,15,3,2,0,0
서울,동대문구,감경,남자,80-84세,120,8,8,22,48,21,5,1,2,0
서울,동대문구,감경,남자,85세이상,126,4,8,28,59,20,3,0,1,0
서울,동대문구,감경,여자,65세미만,28,7,3,7,4,2,1,1,0,0
서울,동대문구,감경,여자,65-69세,47,6,5,15,10,3,2,1,0,1
서울,동대문구,감경,여자,70-74세,89,7,4,22,29,5,8,3,2,0
서울,동대문구,감경,여자,75-79세,231,14,11,45,101,28,9,4,1,2
서울,동대문구,감경,여자,80-84세,329,15,20,87,144,31,11,4,2,0
서울,동대문구,감경,여자,85세이상,510,31,40,169,205,40,11,4,1,0
서울,중랑구,일반,남자,65세미만,86,5,4,12,12,0,1,15,6,6
서울,중랑구,일반,남자,65-69세,151,7,6,34,28,3,0,13,11,7
서울,중랑구,일반,남자,70-74세,217,8,21,59,35,5,4,20,10,5
서울,중랑구,일반,남자,75-79세,297,15,28,63,86,22,0,17,11,7
서울,중랑구,일반,남자,80-84세,363,14,24,88,108,36,9,18,10,5
서울,중랑구,일반,남자,85세이상,352,15,22,88,104,24,7,17,13,1
서울,중랑구,일반,여자,65세미만,73,3,5,12,7,4,0,11,2,7
서울,중랑구,일반,여자,65-69세,174,9,10,24,30,5,5,21,10,8
서울,중랑구,일반,여자,70-74세,301,8,14,48,59,15,9,36,13,6
서울,중랑구,일반,여자,75-79세,674,20,42,110,196,46,18,51,43,10
서울,중랑구,일반,여자,80-84세,895,28,50,201,284,68,25,51,32,7
서울,중랑구,일반,여자,85세이상,934,43,104,274,298,41,11,30,20,7
서울,중랑구,기초,남자,65세미만,144,8,8,26,50,7,2,12,6,4
서울,중랑구,기초,남자,65-69세,153,3,7,24,44,10,1,14,10,9
서울,중랑구,기초,남자,70-74세,130,2,7,23,47,9,1,8,4,4
서울,중랑구,기초,남자,75-79세,111,2,8,19,35,6,0,16,6,3
서울,중랑구,기초,남자,80-84세,88,4,2,21,26,3,0,6,2,4
서울,중랑구,기초,남자,85세이상,61,1,4,10,19,2,2,4,4,0
서울,중랑구,기초,여자,65세미만,67,8,2,13,24,1,0,3,2,2
