행정동코드,행정동명,시군구명,자치구명,연도,총인구수,65세이상인구,독거노인수_2018,고령화율,고령화율_변화,독거노인비율,비율_75-79세,비율_85세이상,인프라갭,포화도,시설수,수요공급갭지수,요양수요가속도
1132066000,쌍문제1동,도봉구,도봉구,2023,20968,4762,838.0,22.71,0.84,24.02,19.57,9.03,952.4,0.909,21.0,228.1364,31.13
1132067000,쌍문제2동,도봉구,도봉구,2023,18259,4077,844.0,22.33,1.26,29.92,17.2,10.26,1019.25,0.909,21.0,203.4097,36.85
1132068000,쌍문제3동,도봉구,도봉구,2023,16757,3547,665.0,21.17,0.25,27.46,20.12,7.7,1773.5,0.909,21.0,190.4585,38.16
1132068100,쌍문제4동,도봉구,도봉구,2023,18308,3318,438.0,18.12,1.34,19.44,15.01,9.16,3318.0,0.909,21.0,186.547,38.7
1132069000,방학제1동,도봉구,도봉구,2023,28119,6230,1159.0,22.16,1.34,26.74,19.1,7.76,1038.33,0.909,21.0,283.5342,36.29
1132070000,방학제2동,도봉구,도봉구,2023,19032,4640,1073.0,24.38,1.84,33.36,18.52,8.21,2320.0,0.909,21.0,249.8741,36.65
1132071000,방학제3동,도봉구,도봉구,2023,26437,5459,693.0,20.65,1.59,18.28,14.94,11.09,1819.67,0.909,21.0,283.595,36.47
1135056000,월계1동,노원구,노원구,2023,20910,4315,905.0,20.64,0.92,31.84,19.01,8.83,1438.33,0.814,12.0,355.5848,41.75
1135057000,월계2동,노원구,노원구,2023,25947,6104,1495.0,23.52,1.24,52.15,17.64,9.3,6104.0,0.814,12.0,581.1008,75.57
1135058000,월계3동,노원구,노원구,2023,29106,6434,1288.0,22.11,1.33,40.61,18.3,9.04,6434.0,0.814,12.0,613.4077,70.74
1135059500,공릉1동,노원구,노원구,2023,36422,6933,1463.0,19.04,0.93,21.35,17.46,8.12,770.33,0.814,12.0,405.3494,1.16
1135060000,공릉2동,노원구,노원구,2023,41817,5965,903.0,14.26,0.67,40.35,17.26,8.6,2982.5,0.814,12.0,524.2383,98.04
1135061100,하계1동,노원구,노원구,2023,26568,4738,1243.0,17.83,0.85,49.87,16.55,11.11,1579.33,0.814,12.0,396.002,64.24
1135061200,하계2동,노원구,노원구,2023,21517,3419,639.0,15.89,0.97,61.1,17.84,11.61,3419.0,0.814,12.0,330.8277,114.7520000000001
1135061900,중계본동,노원구,노원구,2023,23375,2657,636.0,11.37,0.66,38.88,16.68,10.39,2657.0,0.814,12.0,255.2764,48.5
1135062100,중계1동,노원구,노원구,2023,26466,2586,500.0,9.77,0.77,31.25,16.53,10.3,2586.0,0.814,12.0,248.1366,48.0
1135062400,중계4동,노원구,노원구,2023,19417,4152,991.0,21.38,1.18,32.63,20.12,10.12,2076.0,0.814,12.0,370.8033,31.28
1135062500,중계2.3동,노원구,노원구,2023,33213,7688,2106.0,23.15,1.13,31.32,19.28,11.2,7688.0,0.814,12.0,743.9027,13.4
1135063000,상계1동,노원구,노원구,2023,37588,7636,1252.0,20.31,1.4,26.27,17.19,8.94,2545.33,0.814,12.0,628.2901,47.14
1135064000,상계2동,노원구,노원구,2023,19477,3578,711.0,18.37,1.16,84.04,17.22,8.67,298.17,0.814,12.0,184.2074,114.7520000000001
1135066500,상계3.4동,노원구,노원구,2023,25113,6225,1760.0,24.79,1.19,38.62,19.5,8.7,6225.0,0.814,12.0,594.5833,31.18
1135067000,상계5동,노원구,노원구,2023,23498,5270,1281.0,22.43,1.17,45.05,19.33,10.31,5270.0,0.814,12.0,507.0551,61.69
