"동별","독거노인별","항목","단위","2010 년","2011 년","2012 년","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년","2021 년","2022 년","2023 년","2024 년",
"중구","합계","80세 이상","","919","967","1032","1072","1174","1228","1302","1369","1495","1641","1845","2015","2008","2221","2238",
"중구","국민기초생활보장 수급권자","계","","904","1002","1231","1087","1121","997","1452","1112","1416","1447","1872","2168","2392","2553","2762",
"중구","국민기초생활보장 수급권자","65~79세","","715","772","935","833","813","729","1111","851","1011","1056","1371","1564","1733","1787","1950",
"중구","국민기초생활보장 수급권자","80세 이상","","189","230","296","254","308","268","341","261","405","391","501","604","659","766","812",
"중구","저소득노인","계","","130","188","550","562","357","228","213","286","308","325","308","265","366","324","173",
"중구","저소득노인","65~79세","","105","152","452","401","234","136","132","176","176","187","170","138","211","177","84",
"중구","저소득노인","80세 이상","","25","36","98","161","123","92","81","110","132","138","138","127","155","147","89",
"중구","일   반","계","","3754","3720","3317","3510","3866","4149","3863","4327","4211","4551","4937","5120","4667","5110","5153",
"중구","일   반","65~79세","","3049","3019","2679","2853","3123","3281","2983","3329","3253","3439","3731","3836","3473","3802","3816",
"중구","일   반","80세 이상","","705","701","638","657","743","868","880","998","958","1112","1206","1284","1194","1308","1337",
"소공동","합계","계","","","","","","48","44","54","57","62","72","80","79","70","87","85",
"소공동","합계","65~79세","","","","","","40","38","42","49","52","63","67","67","55","67","64",
"소공동","합계","80세 이상","","","","","","8","6","12","8","10","9","13","12","15","20","21",
"소공동","국민기초생활보장 수급권자","계","","","","","","4","4","7","5","8","14","15","19","17","17","16",
"소공동","국민기초생활보장 수급권자","65~79세","","","","","","4","3","7","5","8","14","14","17","15","15","13",
"소공동","국민기초생활보장 수급권자","80세 이상","","","","","","0","1","0","0","0","0","1","2","2","2","3",
"소공동","저소득노인","계","","","","","","1","1","1","0","1","1","1","0","-","-","1",
"소공동","저소득노인","65~79세","","","","","","1","0","0","0","1","1","1","0","-","-","1",
"소공동","저소득노인","80세 이상","","","","","","0","1","1","0","0","0","0","0","-","-","-",
"소공동","일   반","계","","","","","","43","39","46","52","53","57","64","60","53","70","68",
"소공동","일   반","65~79세","","","","","","35","35","35","44","43","48","52","50","40","52","50",
"소공동","일   반","80세 이상","","","","","","8","4","11","8","10","9","12","10","13","18","18",
"회현동","합계","계","","","","","","447","436","461","478","480","492","563","578","480","553","499",
"회현동","합계","65~79세","","","","","","359","360","376","398","392","397","451","455","377","433","390",
"회현동","합계","80세 이상","","","","","","88","76","85","80","88","95","112","123","103","120","109",
"회현동","국민기초생활보장 수급권자","계","","","","","","152","129","156","160","172","182","198","203","213","219","224",
"회현동","국민기초생활보장 수급권자","65~79세","","","","","","127","92","131","141","150","161","174","178","178","188","187",
"회현동","국민기초생활보장 수급권자","80세 이상","","","","","","25","37","25","19","22","21","24","25","35","31","37",
"회현동","저소득노인","계","","","","","","24","15","13","17","11","12","9","8","8","8","2",
"회현동","저소득노인","65~79세","","","","","","15","8","7","12","5","3","3","2","3","4","1",
"회현동","저소득노인","80세 이상","","","","","","9","7","6","5","6","9","6","6","5","4","1",
"회현동","일   반","계","","","","","","271","292","292","301","297","298","356","367","259","326","273",
"회현동","일   반","65~79세","","","","","","217","260","238","245","237","233","274","275","196","241","202",
"회현동","일   반","80세 이상","","","","","","54","32","54","56","60","65","82","92","63","85","71",
"명동","합계","계","","","","","","164","148","157","157","167","180","199","215","192","199","181",
"명동","합계","65~79세","","","","","","129","115","130","126","131","148","151","171","145","153","138",
"명동","합계","80세 이상","","","","","","35","33","27","31","36","32","48","44","47","46","43",
"명동","국민기초생활보장 수급권자","계","","","","","","26","23","27","24","32","32","38","41","30","24","23",
"명동","국민기초생활보장 수급권자","65~79세","","","","","","17","15","25","22","28","26","31","34","23","17","15",
"명동","국민기초생활보장 수급권자","80세 이상","","","","","","9","8","2","2","4","6","7","7","7","7","8",
"명동","저소득노인","계","","","","","","5","3","3","7","4","5","5","5","2","-","1",
"명동","저소득노인","65~79세","","","","","","4","2","2","6","2","3","4","4","1","-","-",
"명동","저소득노인","80세 이상","","","","","","1","1","1","1","2","2","1","1","1","-","1",
"명동","일   반","계","","","","","","133","122","127","126","131","143","156","169","160","175","157",
"명동","일   반","65~79세","","","","","","108","98","103","98","101","119","116","133","121","136","123",
